country_code_2,fiscal_year,gdp_amount
es,2019,"1,427.74"
lk,2019,112.264
sd,2019,109.358
sr,2019,6.738
sz,2019,4.657
se,2019,562.124
ch,2019,746.28
sy,2019,0
tw,2019,618.101
tj,2019,10.182
tz,2019,59.349
th,2019,454.082
tl,2019,0
tg,2019,5.836
to,2019,0.558
tt,2019,33.896
tn,2019,50.171
tr,2019,851.773
tm,2019,73.974
ug,2019,34.188
ua,2019,125.991
ae,2019,438.118
Gb,2019,"3,616.82"
us,2019,"21,404.19"
uy,2019,66.532
uz,2019,83.478
vu,2019,1.002
ve,2019,170.41
vn,2019,265.987
ye,2019,0
zm,2019,32.957
zw,2019,16.609
af,2020,0
al,2020,16.996
dz,2020,219.16
ao,2020,127.15
ag,2020,1.617
ar,2020,633.889
am,2020,12.939
au,2020,"1,515.70"
at,2020,452.657
az,2020,87.276
bs,2020,0
bh,2020,40.522
bd,2020,310.858
bb,2020,5.222
by,2020,89.315
be,2020,556.197
bz,2020,2.207
bj,2020,11.659
bt,2020,3.798
bo,2020,48.626
ba,2020,21.559
bw,2020,17.456
br,2020,"2,054.41"
bn,2020,19.1
bg,2020,59.506
bf,2020,18.003
bi,2020,4.489
kh,2020,27.089
cm,2020,43.247
ca,2020,"1,958.15"
cv,2020,0
cf,2020,2.916
td,2020,18.547
cl,2020,292.019
cn,2020,"17,100.06"
co,2020,421.246
km,2020,0.834
cd,2020,0
cg,2020,0
cr,2020,71.816
ci,2020,50.86
hr,2020,61.381
cy,2020,23.907
cz,2020,206.851
dk,2020,369.686
dj,2020,2.854
dm,2020,0.646
do,2020,85.005
ec,2020,116.105
eg,2020,0
sv,2020,31.358
gq,2020,10.856
er,2020,7.584
ee,2020,31.856
et,2020,100.324
fj,2020,5.739
fi,2020,281.26
fr,2020,"2,940.19"
ga,2020,18.899
gm,2020,0
ge,2020,20.331
de,2020,"4,004.94"
gh,2020,58.288
gr,2020,234.579
gd,2020,1.223
gt,2020,85.228
gn,2020,10.326
gw,2020,1.563
gy,2020,4.223
ht,2020,10.97
hn,2020,23.101
hk,2020,405.781
hu,2020,150.095
is,2020,19.991
in,2020,"3,443.60"
id,2020,"1,193.91"
ir,2020,0
ie,2020,295.976
il,2020,339.065
it,2020,"2,143.80"
jm,2020,17.084
jp,2020,"4,746.88"
jo,2020,53.852
kz,2020,268.657
ke,2020,104.043
ki,2020,0.18
kr,2020,"1,898.76"
kw,2020,178.517
kg,2020,10.43
la,2020,0
lv,2020,38.834
lb,2020,70.286
ls,2020,2.682
lr,2020,2.984
lY,2020,53.805
lt,2020,56.8
lu,2020,78.827
mk,2020,0
mg,2020,11.89
mw,2020,7.912
my,2020,544.418
mv,2020,4.434
ml,2020,16.13
mt,2020,12.432
mr,2020,6.291
mu,2020,15.51
mx,2020,"1,495.66"
md,2020,8.998
mn,2020,17.871
ma,2020,146.854
mz,2020,32.223
mm,2020,106.221
na,2020,18.661
np,2020,32.1
nl,2020,940.749
nz,2020,194.677
ni,2020,16.513
ne,2020,11.4
ng,2020,594.992
no,2020,470.99
om,2020,74.402
pk,2020,0
pa,2020,71.679
pg,2020,22.366
py,2020,35.722
pe,2020,235.091
ph,2020,507.251
pl,2020,663.519
pt,2020,237.171
qa,2020,267.515
ro,2020,242.889
ru,2020,"1,791.79"
rw,2020,13.335
ws,2020,1.016
st,2020,0.5
sa,2020,848.557
sn,2020,22.828
rs,2020,50.031
sc,2020,1.825
sl,2020,6.373
sg,2020,394.977
sk,2020,115.111
si,2020,52.951
sb,2020,1.751
za,2020,394.715
es,2020,"1,497.67"
lk,2020,122.55
sd,2020,117.403
sr,2020,7.266
sz,2020,4.787
se,2020,585.743
ch,2020,770.927
sy,2020,0
tw,2020,650.902
tj,2020,11.111
tz,2020,64.145
th,2020,473.997
tl,2020,0
tg,2020,6.394
to,2020,0.574
tt,2020,36.113
tn,2020,53.537
tr,2020,905.844
tm,2020,83.993
ug,2020,37.688
ua,2020,137.856
ae,2020,468.902
gb,2020,"3,851.98"
us,2020,"22,294.11"
uy,2020,70.107
uz,2020,88.986
vu,2020,1.057
ve,2020,184.364
vn,2020,287.257
ye,2020,0
zm,2020,36.316
zw,2020,17.529
af,2021,0
al,2021,16.77
dz,2021,163.812
ao,2021,70.339
ag,2021,1.405
ar,2021,455.172
am,2021,13.612
au,2021,"1,610.56"
at,2021,481.209
az,2021,52.645
bs,2021,0
bh,2021,39.104
bd,2021,355.689
bb,2021,4.648
by,2021,65.754
be,2021,581.848
bz,2021,1.909
bj,2021,18.067
bt,2021,2.48
bo,2021,38.547
ba,2021,21.692
bw,2021,17.605
br,2021,"1,645.84"
bn,2021,15.686
bg,2021,77.907
bf,2021,19.932
bi,2021,3.193
kh,2021,26.08
cm,2021,44.806
ca,2021,"2,015.98"
cv,2021,0
cf,2021,2.587
td,2021,12.345
cl,2021,331.25
cn,2021,"16,862.98"
co,2021,300.791
km,2021,1.281
cd,2021,0
cg,2021,0
cr,2021,61.46
ci,2021,68.845
hr,2021,63.399
cy,2021,26.546
cz,2021,276.914
dk,2021,396.666
dj,2021,3.654
dm,2021,0.571
do,2021,89.502
ec,2021,104.483
eg,2021,396.328
sV,2021,27.665
gq,2021,12.528
er,2021,2.254
ee,2021,36.039
et,2021,92.757
fj,2021,4.639
fi,2021,296.016
fr,2021,"2,940.43"
ga,2021,18.293
gm,2021,0
ge,2021,17.846
de,2021,"4,230.17"
gh,2021,75.487
gr,2021,211.645
gd,2021,1.083
gt,2021,83.305
gn,2021,16.724
gw,2021,1.592
gy,2021,7.395
ht,2021,20.143
hn,2021,26.325
hk,2021,369.722
hu,2021,180.959
is,2021,25.476
in,2021,"2,946.06"
id,2021,"1,150.25"
ir,2021,0
ie,2021,516.253
il,2021,467.532
it,2021,"2,120.23"
jm,2021,14.857
jp,2021,"5,103.11"
jo,2021,45.344
kz,2021,194.024
ke,2021,109.491
ki,2021,0.232
kr,2021,"1,823.85"
kw,2021,132.266
kg,2021,8.15
la,2021,0
lv,2021,37.199
lb,2021,0
ls,2021,2.478
lr,2021,3.384
ly,2021,27.3
lt,2021,62.635
lu,2021,83.771
mk,2021,0
mg,2021,14.101
mw,2021,12.15
my,2021,371.114
mv,2021,4.573
ml,2021,19.563
mt,2021,16.695
mr,2021,9.164
mu,2021,10.998
mx,2021,"1,285.52"
md,2021,12.396
mn,2021,14.28
ma,2021,126.035
mz,2021,15.833
mm,2021,66.74
na,2021,12.213
np,2021,34.265
nl,2021,"1,007.56"
nz,2021,247.64
ni,2021,13.397
ne,2021,15.637
ng,2021,480.482
no,2021,445.507
om,2021,80.611
pk,2021,0
pa,2021,60.121
pg,2021,26.461
py,2021,36.973
pe,2021,225.858
ph,2021,385.737
pl,2021,655.332
pt,2021,251.709
qa,2021,169.184
ro,2021,287.279
ru,2021,"1,647.57"
rw,2021,10.395
ws,2021,0.78
st,2021,0.534
sa,2021,842.588
sn,2021,27.576
rs,2021,60.669
sc,2021,1.288
!sl,2021,4.407
sg,2021,378.645
sk,2021,116.748
si,2021,60.89
sb,2021,1.649
za,2021,415.315
es,2021,"1,439.96"
lk,2021,80.785
sd,2021,35.919
sr,2021,2.817
sz,2021,0
se,2021,622.365
ch,2021,810.83
sy,2021,0
tw,2021,785.589
tj,2021,8.104
tz,2021,69.238
th,2021,546.223
tl,2021,0
tg,2021,8.493
to,2021,0.501
tt,2021,21.599
tn,2021,42.733
tr,2021,795.952
tm,2021,53.087
ug,2021,43.243
ua,2021,181.038
ae,2021,410.158
gb,2021,"3,108.42"
us,2021,"22,939.58"
uy,2021,60.108
uz,2021,65.503
vu,2021,0.999
ve,2021,44.893
vn,2021,368.002
ye,2021,0
zm,2021,21.699
zw,2021,25.791
af,2022,0
al,2022,18.012
dz,2022,168.195
ao,2022,74.953
ag,2022,1.534
ar,2022,483.765
am,2022,15.06
au,2022,"1,677.45"
at,2022,520.343
az,2022,54.725
bs,2022,0
bh,2022,41.057
bd,2022,390.608
bb,2022,5.142
by,2022,70.632
be,2022,619.16
bz,2022,2.062
bj,2022,19.917
bt,2022,2.74
bo,2022,40.895
ba,2022,23.006
bw,2022,19.002
br,2022,"1,810.61"
bn,2022,16.263
bg,2022,84.308
bf,2022,21.887
bi,2022,3.396
kh,2022,27.985
cm,2022,48.29
ca,2022,"2,189.79"
cv,2022,0
cf,2022,2.797
td,2022,12.953
cl,2022,352.664
cn,2022,"18,463.13"
co,2022,319.29
km,2022,1.363
cd,2022,0
cg,2022,0
cr,2022,64.374
ci,2022,75.075
hr,2022,68.525
cy,2022,28.291
cz,2022,302.061
dk,2022,414.55
dj,2022,3.932
dm,2022,0.628
do,2022,97.371
ec,2022,109.975
eg,2022,438.348
sv,2022,29.316
gq,2022,12.074
er,2022,2.484
ee,2022,39.542
et,2022,0
fj,2022,5.01
fi,2022,314.538
fr,2022,"3,140.03"
ga,2022,19.632
gm,2022,0
ge,2022,19.688
de,2022,"4,557.35"
gh,2022,82.018
gr,2022,224.894
gd,2022,1.16
gt,2022,89.214
gn,2022,18.223
gw,2022,1.721
gy,2022,9.837
ht,2022,18.825
hn,2022,27.923
hk,2022,389.977
hU,2022,198.992
is,2022,27.172
in,2022,"3,250.08"
id,2022,"1,247.35"
ir,2022,0
ie,2022,550.518
il,2022,501.409
it,2022,"2,272.27"
jm,2022,15.63
jp,2022,"5,383.68"
jo,2022,47.5
kz,2022,203.666
ke,2022,116.641
ki,2022,0.245
kr,2022,"1,907.66"
kw,2022,138.78
kg,2022,8.928
la,2022,0
lv,2022,40.83
lb,2022,0
ls,2022,2.592
lr,2022,3.664
ly,2022,29.202
lt,2022,67.659
lu,2022,89.683
mk,2022,0
mg,2022,15.402
mw,2022,12.008
my,2022,415.375
mv,2022,5.296
ml,2022,21.261
mt,2022,18.209
mr,2022,9.336
mu,2022,11.954
mx,2022,"1,371.64"
md,2022,13.315
  mn,2022,15.83
ma,2022,132.645
mz,2022,16.759
mm,2022,63.052
na,2022,13.122
np,2022,36.296
nl,2022,"1,070.75"
nz,2022,267.636
ni,2022,13.948
ne,2022,17.261
ng,2022,555.346
no,2022,458.398
om,2022,85.719
pk,2022,0
pa,2022,64.366
pg,2022,28.31
py,2022,39.197
pe,2022,231.691
ph,2022,406.107
pl,2022,720.35
pt,2022,271.191
qa,2022,180.883
ro  ,2022,314.876
ru,2022,"1,703.53"
rw,2022,11.035
ws,2022,0.808
st,2022,0.573
sa,2022,876.148
sn,2022,30.039
rs,2022,65.697
sc,2022,1.751
sl,2022,4.587
sg,2022,396.995
sk,2022,127.497
si,2022,65.475
sb,2022,1.798
za,2022,435.212
es,2022,"1,570.91"
lk,2022,83.315
sd,2022,37.769
sr,2022,2.937
sz,2022,0
se,2022,660.918
ch,2022,862.819
sy,2022,0
tw,2022,850.528
tj,2022,8.756
tz,2022,74.536
th,2022,585.586
tl,2022,0
tg,2022,9.357
to,2022,0.54
tt,2022,23.082
tn,2022,45.454
tr,2022,844.534
tm,2022,60.263
ug,2022,47
ua,2022,203.925
ae,2022,427.93
gb,2022,"3,442.21"
us,2022,"24,796.08"
uy,2022,63.741
uz,2022,72.762
vu,2022,1.06
ve,2022,43.546
vn,2022,415.493
ye,2022,0
zm,2022,23.967
zw,2022,27.806
