country_code_2,fiscal_year,gdp_amount
lu,2013,53.59
mk,2013,11.74
mg,2013,11.477
mw,2013,8.296
my,2013,270.36
mv,2013,1.784
ml,2013,11.541
mt,2013,9.254
mr,2013,5.582
mu,2013,10.847
mx,2013,"1,186.61"
md,2013,5.634
mn,2013,7.516
ma,2013,120.288
mz,2013,12.031
mm,2013,32.286
na,2013,10.138
np,2013,20.855
nl,2013,876.58
nz,2013,126.316
ni,2013,6.851
ne,2013,7.565
ng,2013,232.736
no,2013,441.282
om,2013,71.594
pk,2013,205.926
pa,2013,35.293
pg,2013,9.077
py,2013,17.257
pe,2013,152.802
ph,2013,200.928
pl,2013,504.989
pt,2013,242.136
qa,2013,170.858
ro,2013,243.392
ru,2013,"1,896.68"
rw,2013,6.697
ws,2013,0.717
st,2013,0.237
sa,2013,556.532
sn,2013,16.412
rs,2013,55.836
sc,2013,1.011
sl,2013,2.704
sg,2013,205.994
sk,2013,115.61
si,2013,60.311
sb,2013,1.002
za,2013,331.801
es,2013,"1,534.01"
lk,2013,47.671
sd,2013,90.739
sr,2013,5.386
sz,2013,3.304
se,2013,521.545
ch,2013,520.368
sy,2013,81.836
tw,2013,466.126
tj,2013,7.325
tz,2013,30.515
th,2013,347.815
tl,2013,1.136
tg,2013,3.409
to,2013,0.332
tt,2013,35.857
tn,2013,49.8
tr,2013,673.753
tm,2013,0
ug,2013,21.451
ua,2013,160.619
ae,2013,326.175
gb,2013,"2,758.80"
us,2013,"16,729.38"
uy,2013,54.388
uz,2013,51.125
vu,2013,0.747
ve,2013,403.123
vn,2013,135.729
ye,2013,40.003
zm,2013,21.829
zw,2013,6.214
af,2014,24.304
al,2014,16.053
dz,2014,203.449
ao,2014,151.089
ag,2014,1.494
ar,2014,347.731
am,2014,10.821
au,2014,"1,125.82"
aT,2014,430.611
az,2014,65.776
bs,2014,8.287
bh,2014,27.165
bd,2014,133.176
bb,2014,4.445
by,2014,91.501
be,2014,535.079
bz,2014,1.787
bj,2014,9.483
bt,2014,2.174
bo,2014,24.925
ba,2014,23.616
bw,2014,15.032
br,2014,"2,155.68"
bn,2014,17.039
bg,2014,58.117
bf,2014,11.402
bi,2014,1.835
kh,2014,17.458
cm,2014,29.758
ca,2014,"1,713.41"
cv,2014,2.689
cf,2014,2.776
td,2014,9.205
cl,2014,183.909
cn,2014,"8,283.35"
co,2014,319.728
km,2014,0.733
cd,2014,17.352
cg,2014,12.671
cr,2014,38.891
ci,2014,32.546
hr,2014,79.296
cy,2014,29.483
cz,2014,264.418
dk,2014,383.979
dj,2014,1.779
dm,2014,0.465
do,2014,58.575
ec,2014,73.444
eg,2014,299.121
sv,2014,29.167
gq,2014,14.881
er,2014,3.663
ee,2014,21.09
et,2014,40.432
fj,2014,3.683
fi,2014,293.345
fr,2014,"3,089.18"
ga,2014,14.693
gm,2014,0.944
ge,2014,14.377
de,2014,"3,485.90"
gh,2014,22.631
gr,2014,387.042
gd,2014,0.844
gt,2014,41.885
gn,2014,6.377
gw,2014,0.578
gy,2014,1.658
ht,2014,8.669
hn,2014,21.707
hk,2014,271.4
hu,2014,166.299
is,2014,12.527
in,2014,"1,908.33"
id,2014,777.89
ir,2014,454.918
ie,2014,243.05
il,2014,270.446
it,2014,"2,355.35"
jm,2014,14.694
jp,2014,"5,791.63"
jo,2014,33.304
kz,2014,199.333
ke,2014,55.078
ki,2014,0.129
kr,2014,"1,167.69"
kw,2014,174.939
kg,2014,6.323
la,2014,8.374
lv,2014,25.732
lb,2014,45.994
ls,2014,1.999
lr,2014,1.665
ly,2014,109.604
lt,2014,41.173
lu,2014,56.04
mk,2014,12.566
mg,2014,12.692
mw,2014,9.679
my,2014,293.746
mv,2014,1.914
ml,2014,12.333
mt,2014,9.668
mr,2014,6.045
mu,2014,11.629
mx,2014,"1,273.56"
md,2014,6.052
mn,2014,7.595
ma,2014,128.427
mz,2014,12.755
mm,2014,33.92
na,2014,10.414
np,2014,22.757
nl,2014,902.03
nz,2014,129.843
ni,2014,7.125
ne,2014,8.076
ng,2014,251.306
no,2014,454.533
om,2014,76.1
pk,2014,219.322
pa,2014,38.809
pg,2014,9.077
py,2014,18.788
pe,2014,164.355
ph,2014,212.469
pl,2014,535.655
pt,2014,246.824
qa,2014,178.953
ro,2014,274.083
ru,2014,"2,127.58"
rw,2014,7.251
ws,2014,0.769
st,2014,0.258
sa,2014,601.387
sn,2014,17.473
rs,2014,61.11
sc,2014,1.084
sl,2014,2.871
sg,2014,216.372
sk,2014,122.589
si,2014,63.417
sb,2014,1.086
za,2014,349.581
es,2014,"1,567.79"
lk,2014,51.097
sd,2014,98.222
sr,2014,6.259
sz,2014,3.402
se,2014,547.595
ch,2014,525.688
sy,2014,90.182
tw,2014,488.158
tj,2014,8.713
tz,2014,33.392
th,2014,375.689
tl,2014,1.337
tg,2014,3.603
to,2014,0.352
tt,2014,38.656
tn,2014,53.775
tr,2014,710.833
tm,2014,0
ug,2014,22.991
ua,2014,175.949
ae,2014,356.668
gb,2014,"2,919.12"
us,2014,"17,419.35"
uy,2014,63.167
uz,2014,58.224
vu,2014,0.804
ve,2014,409.562
vn,2014,148.914
ye,2014,42.687
zm,2014,23.613
zw,2014,6.851
af,2015,0
al,2015,11.591
dz,2015,175.077
ao,2015,102.011
ag,2015,1.285
ar,2015,578.705
am,2015,10.607
au,2015,"1,240.80"
at,2015,372.606
az,2015,63.983
bs,2015,0
bh,2015,30.914
bd,2015,202.333
bb,2015,4.451
by,2015,62.02
be,2015,458.651
bz,2015,1.763
bj,2015,7.701
bt,2015,2.209
bo,2015,33.537
ba,2015,15.568
bw,2015,13.091
br,2015,"1,799.61"
bn,2015,11.636
bg,2015,47.167
bf,2015,11.323
bi,2015,2.97
kh,2015,17.714
cm,2015,28.524
ca,2015,"1,572.78"
cv,2015,0
cf,2015,1.624
td,2015,11.688
cl,2015,240.041
cn,2015,"11,384.76"
co,2015,274.189
km,2015,0.589
cd,2015,0
cg,2015,0
cr,2015,51.618
ci,2015,31.27
hr,2015,48.932
cy,2015,19.383
cz,2015,182.462
dk,2015,291.043
